emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,graph_id,sample_rate
-0.4415082319907022,-0.1300991177082877,-0.24703442299837067,0.06971723097520438,-0.17144460927207575,-0.016110460417718752,0,0.05
0.2529371382079308,-7.980084235884999e-05,0.2269402448817682,0.07608000696339601,0.02426120049152842,-0.04844114972055847,1,0.05
-0.2077629970468943,-0.03609694714808741,-0.07565665432980714,0.1782141290778506,0.18127811718587294,0.03573919035774609,2,0.05
-0.3290041853700529,0.2729571164070862,-0.2123186901459369,-0.022640893606976437,0.03347213167943751,0.023854317454978843,3,0.05
-0.5542812884339626,-0.08743504595468324,0.012019717924535914,-0.11230862959453697,0.0590709495062007,-0.02656587074027643,4,0.05
-0.40710965253704284,0.012391029432701983,0.1113288657090792,0.2797360424017998,-0.02123708272465991,-0.12570999732421573,5,0.05
-0.42375777322616254,-0.02703050545271893,0.30054478831890735,-0.14549567603983288,-0.05465876835173701,-0.029206598554404058,6,0.05
0.934270671715017,-0.47827391446221956,0.06312001101865272,-0.12257021410149989,-0.2986227884959592,-0.09839599856516536,7,0.05
-0.40412597802743017,-0.23778418620952282,-0.3411661465476167,0.03788787257780234,-0.11002894162457931,0.02217384900420492,8,0.05
-0.1884197774716236,0.15363993655749503,-0.008875514350715197,0.028887174829875937,0.1047256926317143,-0.0793944501045796,9,0.05
-0.33364957535517387,-0.14166218343833795,0.3966461763132695,-0.1028517173649409,-0.19014410968972859,0.06790758387158359,10,0.05
-0.32669118784628587,-0.12224193497215255,0.02469372390565989,-0.024884970630668298,-0.19721789205174486,0.047489454772659215,11,0.05
-0.052584130403605024,0.06304293630758882,0.17504715138651802,0.19191153472963593,-0.14015318140586616,-0.010542328144390795,12,0.05
-0.38883456839849145,-0.5365314539398557,-0.00803507657081457,0.11199161164798178,0.05572460941231856,-0.007836790165423916,13,0.05
0.23608298026938399,-0.03167395394518525,0.21729495666834045,0.1405907068243121,-0.016608034660081667,-0.08035908248526415,14,0.05
-0.45092024177605583,0.0024116780804610332,0.4360124641770882,0.002167495897564976,-0.02214498790972968,-0.11320596930142351,15,0.05
-0.0861517588578875,-0.5161373202711582,-0.4492705910713808,0.008750691249270217,-0.09896737769789123,-0.025346036969788575,16,0.05
0.07380816989099526,-0.15212363409600735,0.38053432134142073,0.052864392402130526,-0.02316545090766501,-0.05765492576101904,17,0.05
0.14655081848486864,-0.043866336648136744,0.04698113241564569,-0.0938645352471912,-0.03183282209900724,0.06354175173506925,18,0.05
-0.3333865277821852,0.07217237957916327,0.21626693597036953,-0.31202508036130977,-0.08763917648789374,-0.04040515915226725,19,0.05
0.09257238630520935,0.14741973128523178,0.21077902532858075,0.6136673345975294,0.0229174606406833,-0.07763363285896954,20,0.05
-0.410033166349058,-0.43674612790444356,0.10783968035808766,0.1262215792358277,-0.15538036491300944,-0.007855439832545915,21,0.05
0.47260797017883815,-0.10663140864441463,0.13174501264493227,0.037920448309250725,0.040497953316567095,-0.12129699246690184,22,0.05
0.13974713274445463,0.17691358226498044,-0.03283038093359849,-0.09954767091997743,-0.19719586911092954,0.021965086998656225,23,0.05
-0.1261229452990238,0.10568765733350237,-0.15576261745369607,0.02520631080880919,-0.1536017167413577,-0.016891018396304705,24,0.05
0.45635648335987444,0.018966939030601267,-0.110418070884401,0.3815879593896311,-0.12616946954761293,0.06105225011523303,25,0.05
0.12622284435192227,-0.06391412755723777,-0.16793371660719683,0.06263105388000935,-0.11620979965453469,-0.10316151715728816,26,0.05
0.11920147400834971,0.04818691411127843,-0.1737692593324139,-0.11604133875432696,-0.2747765677041505,0.05563520898684356,27,0.05
-0.09133902419727519,0.3403412731063317,0.07772973077907537,0.11122631978212223,-0.12580588367664508,0.07184824562505182,28,0.05
-0.09678821470675801,0.25069327755914783,0.21618934421724825,-0.17343738987538287,-0.24593505853669825,-0.03183049928049632,29,0.05
0.7337829053497001,0.16738705998904552,-0.06090170585067751,-0.002644860997042318,0.0010300237879794932,-0.016327011827456897,30,0.05
0.06622378138969424,-0.04397161147731793,-0.14392858641869338,0.11908689107360117,0.09025818546142987,-0.08004883205241507,31,0.05
-0.2909903754769703,0.1425389818897583,-0.08623064861520238,0.16737521992673612,0.14292980126353286,-0.014717648086322333,32,0.05
-0.13889180133340343,-0.10240366380486517,-0.13645754614830846,0.03772006115394281,0.09001737771157697,0.028254094099232772,33,0.05
-0.28829852920104654,0.12817914616202333,0.14241667971728642,-0.10611034461262456,-0.09736122138437191,-0.06513924597159285,34,0.05
-0.09567651684825815,-0.11401331105187387,-0.42135112955335374,0.2845017182163407,-0.09285863906886326,-0.04708419536923714,35,0.05
